X	SMILES	REFIDX_R	REFIDX_G	REFIDX_B	Molecular.Weight	Molecular.Weight.Except.Hydrogens	Maximum.Partial.Charge	Minimum.Partial.Charge	Number.of.Labute.Accessible.Surface.Area	Number.of.Topological.Polar.Surface.Area	Number.of.Aromatic.Carbocycles	Number.of.Aromatic.Heterocycles	Number.of.H.bond.Acceptor	Number.of.Lipinski.H.bond.Acceptor	Number.of.Heteroatoms
400	ClC1=CC=C(N(C2=CC=C(C3=NC4=C(O3)C3=CC=CC=C3C3=C4C=CC=C3)C=C2)C2=CC=C(C3=NC4=C(O3)C3=CC=CC=C3C3=C4C=CC=C3)C=C2)C=C1	1.9801	2.3188	2.671	713.1870048	686	0.226864211	-0.43540916	313.8408215	55.3	9	2	0	0	6
401	IC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=NC(C3=NC4=C(S3)C3=C(C=CC=C3)C3=CC(I)=CC=C34)=NC(C3=NC4=C(S3)C3=C(C=CC=C3)C3=CC(I)=CC=C34)=N2)S1	1.9957	2.3188	2.6416	1157.812402	1137.483	0.192563441	-0.231940176	392.7621586	77.34	9	4	0	0	12
402	ClC1=CC=C2N=C(C3=NC(C4=NC5=C(O4)C4=C(C=CC=C4)C4=CC=CC=C45)=NC(C4=NC5=C(S4)C4=C(C=CC=C4)C4=CC=CC=C45)=N3)SC2=C1	1.9989	2.3183	2.6336	698.0750289	680.068	0.265765777	-0.432842986	295.0705474	90.48	7	4	0	0	10
403	BrC1=CC=C2C=C(C3=CC=C(N(C4=CC=C(C5=CC=C6C=C(I)C=CC6=C5)C=C4)C4=CC=C(C5=NC6=C(O5)C5=C(C=CC=C5)C5=CC=CC=C56)C=C4)C=C3)C=CC2=C1	1.9955	2.3177	2.6172	918.0742737	887.404	0.226864211	-0.43540916	357.0283935	29.27	10	1	0	0	5
404	ClC1=CC=C2N=C(C3=NC(C4=NC5=C(S4)C4=C(C=C(Cl)C=C4)C4=CC(Cl)=CC=C45)=NC(C4=NC5=C(O4)C4=C(C=CC=C4)C4=CC=CC=C45)=N3)SC2=C1	1.9941	2.3177	2.6412	765.9970842	750.974	0.265765777	-0.432842986	315.6770798	90.48	7	4	0	0	12
405	IC1=CC=C2C(=C1)C1=C(C=CC=C1)C1=C2N=C(C2=NC(C3=NC4=C(S3)C3=CC=C(I)C=C3C3=CC(I)=CC=C34)=NC(C3=NC4=C(S3)C3=C(C=CC=C3)C3=CC(I)=CC=C34)=N2)S1	1.9881	2.3175	2.6539	1283.70905	1264.387	0.192563441	-0.231940176	412.0239967	77.34	9	4	0	0	13
406	ClC1=CC2=C(C=C1)C1=C(SC(C3=NC(C4=NC5=C(S4)C4=CC=C(Br)C=C4C4=C5C=CC(Br)=C4)=NC(C4=CC5=CC=C(Br)C=C5C=C4)=N3)=N1)C1=CC=C(Cl)C=C21	2.0111	2.3173	2.594	974.7930792	961.26	0.192480795	-0.231940186	354.9624792	64.45	8	3	0	0	12
407	ClC1=CC=C2C(=C1)C1=C(C=CC(Cl)=C1)C1=C2N=C(C2=NC(C3=NC4=C(S3)C3=C(C=CC=C3)C3=CC=CC=C34)=NC(C3=NC4=CC=C(I)C=C4S3)=N2)S1	1.9952	2.317	2.6414	873.9098609	858.493	0.192563441	-0.232623604	329.4816857	77.34	7	4	0	0	12
408	ClC1=CC=C2C(=C1)C1=C(C=CC=C1)C1=C2N=C(C2=NC(C3=NC4=C(S3)C3=C(C=C(Cl)C=C3)C3=CC(Cl)=CC=C34)=NC(C3=NC4=CC=C(Br)C=C4S3)=N2)S1	1.999	2.3166	2.6313	859.8847527	846.946	0.192563441	-0.232623517	334.3906614	77.34	7	4	0	0	13
409	ClC1=CC=C2SC(C3=NC(C4=NC5=C(S4)C4=CC=CC=C4C4=C5C=CC(Cl)=C4)=NC(C4=NC5=C(S4)C4=CC=CC=C4C4=C5C=CC(I)=C4)=N3)=NC2=C1	2.0076	2.3163	2.6124	873.9098609	858.493	0.192563441	-0.232569545	329.4816857	77.34	7	4	0	0	12
410	IC1=CC=C2C(=C1)C1=CC(I)=CC=C1C1=C2N=C(C2=NC(C3=NC4=C(O3)C3=C(C=CC=C3)C3=CC=CC=C34)=NC(C3=NC4=C(O3)C3=C(C=CC=C3)C3=CC=CC=C34)=N2)S1	1.9863	2.3163	2.6464	999.9614409	978.443	0.265767059	-0.432842979	363.8082524	103.62	9	4	0	0	11
411	ClC1=CC=C2N=C(C3=NC(C4=NC5=C(S4)C4=C(C=C(Br)C=C4)C4=CC(Br)=CC=C45)=NC(C4=NC5=C(O4)C4=C(C=CC=C4)C4=CC=CC=C45)=N3)SC2=C1	1.9932	2.3162	2.6394	853.896053	839.876	0.265765777	-0.432842986	322.8056426	90.48	7	4	0	0	12
412	BrC1=CC=C2C(=C1)C1=CC(Br)=CC=C1C1=C2N=C(C2=NC(C3=NC4=C(S3)C3=CC=C(I)C=C3C3=C4C=CC(I)=C3)=NC(C3=NC4=C(O3)C3=CC=CC=C3C3=C4C=CC=C3)=N2)S1	1.9838	2.316	2.6583	1171.759621	1154.319	0.265765777	-0.432842986	396.3893817	90.48	9	4	0	0	13
413	N#CC1=CC=C(N(C2=CC=C(C3=NC4=C(O3)C3=CC=CC=C3C3=C4C=CC=C3)C=C2)C2=CC=C(C3=NC4=C(C=CC=C4)S3)C=C2)C=C1	1.9867	2.316	2.6391	620.1670824	596.545	0.226864211	-0.43540916	273.777782	65.95	7	2	0	0	6
